id,tier,legendary,background,body,eyes,mouth,headwear,neck,bling,rarity_score
1,Legendary,The Firstborn,Maroon,Classic Navy,Classic,None,Halo,None,Diamond Spout,39.82
2,Common,,Maroon,Classic Navy,Gold Monocle,None,None,Silver Chain,,27.88
3,Common,,Charcoal,Classic Navy,Classic,None,None,None,Emerald Stud,21.46
4,Common,,Sage,Ocean Blue,Abyss Glow,None,None,Cuban Chain,,28.06
5,Common,,Maroon,Classic Navy,Classic,Cigar,Crown,None,,38.41
6,Common,,Sand,Steel,Classic,Cigar,None,None,Pinky Ring,42.2
7,Rare,,Gold Dust,Midnight Black,Abyss Glow,Cigar,Kelp Wrap,None,,83.12
8,Uncommon,,Charcoal,Arctic,Sleepy,None,Beanie,None,Diamond Spout,52.98
9,Common,,Sage,Arctic,Abyss Glow,None,None,Cuban Chain,Gold Watch,45.56
10,Uncommon,,Gold Dust,Arctic,Shades,None,Halo,None,,60.12
11,Common,,Slate,Ocean Blue,Classic,Cigar,Captain's Hat,None,,23.6
12,Common,,Maroon,Arctic,Gold Monocle,Cigar,None,Cuban Chain,,39.09
13,Common,,Maroon,Classic Navy,Classic,Gold Tooth,None,None,Emerald Stud,27.2
14,Common,,Slate,Arctic,Classic,Cigar,Sailor Cap,None,Gold Watch,40.55
15,Common,,Slate,Deep Sea,Classic,Punk Cigarette,None,None,,21.36
16,Uncommon,,Sand,Deep Sea,Classic,Punk Cigarette,None,Cuban Chain,Pinky Ring,50.98
17,Common,,Sage,Classic Navy,Classic,Gold Tooth,None,Silver Chain,,26.54
18,Common,,Slate,Classic Navy,Classic,None,Sailor Cap,Pearl String,,27.12
19,Common,,Mauve,Ocean Blue,Sleepy,Punk Cigarette,Sailor Cap,Pearl String,,46.59
20,Uncommon,,Sage,Deep Sea,Classic,Gold Tooth,Kelp Wrap,Diamond Chain,,61.54
21,Common,,Maroon,Steel,Classic,Gold Tooth,None,None,,21.36
22,Uncommon,,Mauve,Classic Navy,Laser,Gold Tooth,Halo,Cuban Chain,,58.45
23,Common,,Sage,Classic Navy,Classic,Gold Tooth,None,Pearl String,,29.32
24,Common,,Maroon,Deep Sea,Classic,Cigar,None,None,,19.24
25,Common,,Slate,Deep Sea,Classic,Cigar,None,None,,19.24
26,Uncommon,,Maroon,Classic Navy,Classic,Cigar,Sailor Cap,Diamond Chain,Emerald Stud|Gold Watch,65.55
27,Common,,Charcoal,Steel,Classic,Bubble Pipe,None,Cuban Chain,,33.13
28,Rare,,Maroon,Classic Navy,Classic,None,Captain's Hat,Diamond Chain,Pinky Ring|Diamond Spout,74.89
29,Common,,Slate,Ocean Blue,Classic,Cigar,Sailor Cap,None,,23.05
30,Common,,Maroon,Classic Navy,Classic,None,Beanie,None,Pinky Ring,33.86
31,Common,,Maroon,Ocean Blue,Classic,Cigar,None,None,,15.91
32,Common,,Sage,Classic Navy,Classic,Punk Cigarette,None,Silver Chain,,24.87
33,Common,,Sand,Classic Navy,Classic,Cigar,Beanie,None,,29.7
34,Common,,Mauve,Steel,Classic,Bubble Pipe,Beanie,None,,37.65
35,Common,,Maroon,Deep Sea,Classic,Cigar,Captain's Hat,Silver Chain,,35.27
36,Common,,Sand,Classic Navy,Classic,None,Kelp Wrap,None,,29.32
37,Common,,Sand,Steel,Classic,Bubble Pipe,None,None,,33.48
38,Common,,Maroon,Deep Sea,Abyss Glow,None,Sailor Cap,Pearl String,,43.63
39,Common,,Maroon,Steel,Classic,None,Captain's Hat,Diamond Chain,,45.72
40,Uncommon,,Gold Dust,Classic Navy,Classic,Cigar,None,Pearl String,Gold Watch,54.97
41,Uncommon,,Slate,Classic Navy,Classic,Punk Cigarette,Beanie,None,Coin Spout,57.2
42,Common,,Slate,Deep Sea,Classic,None,None,None,,14.7
43,Common,,Charcoal,Classic Navy,Classic,Gold Tooth,None,None,Emerald Stud,29.79
